Datum,Argentinierstrasse,Donaukanal ,Langobardenstrasse,Lassallestrasse,Liesingbach,Neubaugürtel,Opernring Innen,Opernring Aussen,Wienzeile,Margaritensteg,Operngasse ,Praterstern
20160828,1571,3493,761,6749,793,1312,3632,1723,1624,1383,3548,5223
20160829,2420,1490,693,2801,594,1987,3766,2168,1823,1373,4278,3636
20160830,3133,2372,799,4389,788,2447,5310,2815,2370,1891,5763,5123
20160831,3230,2638,936,4921,909,2625,5465,2804,2446,1922,5885,5509
20160901,3234,2532,855,4835,896,2656,5388,2951,2417,1843,7845,5356
20160902,2555,1889,725,3328,655,2284,4277,2291,1892,1492,5973,4005
20160903,1752,2743,663,4102,818,1568,3906,1782,1518,1490,5913,4188
20160904,1709,3698,762,6015,894,1357,3683,1703,1570,1357,5806,5285
20160905,1681,489,384,1188,166,1241,2269,1295,570,775,3229,2192
20160906,1092,449,202,841,168,961,1521,884,445,532,2109,1410
20160907,3325,2344,803,3642,780,2482,5160,2648,1720,1782,7172,4807
20160908,3455,2429,802,4402,785,2622,5296,2894,1839,1830,7616,5154
20160909,3033,2411,832,4438,799,2547,5227,2801,1803,1922,7769,5209
20160910,1992,2670,625,4499,713,1755,3921,1814,1419,1581,6217,4361
20160911,1851,3797,906,6110,1032,1540,3956,1840,1533,1616,6049,5304
20160912,3429,2262,943,6664,790,2562,5107,2778,1739,1797,7769,5342
20160913,3699,2472,893,7031,813,2755,5609,3002,1866,2002,8474,5771
20160914,3649,2547,875,7184,892,2942,5719,3084,1823,1944,8402,5775
20160915,3441,2423,880,6918,854,2705,5543,3087,1928,1916,8212,5633
20160916,3135,2501,806,6208,814,2503,5144,2749,1711,1803,7464,5050
20160917,1163,849,283,2111,242,1172,2146,1338,848,915,2666,1650
20160918,1322,2248,486,3184,641,1175,2777,1555,1022,1073,3182,2571
20160919,2734,1101,659,4563,515,2049,3756,2146,1243,1302,5185,3475
20160920,3111,1544,562,5152,554,2228,4378,2432,1202,1319,5600,3839
20160921,3025,1481,609,4636,577,2280,4328,2266,1254,1323,5312,3566
20160922,3074,1743,665,5089,613,2308,4432,2404,1318,1458,5825,3903
20160923,2800,1764,691,4901,682,2202,4484,2392,1404,1522,5694,3720
20160924,1736,2172,610,3516,714,1588,3608,1595,1095,1225,4174,2786
20160925,1750,3159,697,4118,1054,1328,4025,1612,1284,1401,4223,3425
20160926,3128,1480,746,5027,627,2214,4675,2363,1410,1470,5825,3893
20160927,3333,1931,722,5528,655,2408,4481,2940,1597,1665,6379,4211
20160928,3311,1941,771,5665,612,2456,4905,2569,1460,1564,6338,4274
20160929,3249,2068,758,5777,688,2524,5397,2691,1638,1745,6896,4593
20160930,3126,2373,831,5803,781,2514,5274,2698,1696,1811,6974,4598
20161001,1658,2782,523,2682,800,1666,3811,1837,1333,1399,3205,3343
20161002,903,954,230,1245,269,815,1737,897,627,630,1529,1431
20161003,2402,687,393,2012,340,1527,3059,1707,803,834,3859,2304
20161004,928,237,124,807,76,628,1055,694,338,349,1436,917
20161005,1984,615,321,1826,239,1337,2467,1406,715,744,3469,2075
20161006,1337,286,163,1110,81,829,1524,976,438,450,2115,1255
20161007,1976,983,414,1875,284,1414,2735,1558,820,856,3256,2201
20161008,875,917,370,1122,256,966,1650,851,583,595,1649,1316
20161009,894,1052,452,1333,313,786,1744,846,580,599,1481,1552
20161010,2288,679,465,1962,321,1573,2864,1637,825,845,3833,2318
20161011,1763,482,290,1639,199,1217,2305,1378,655,671,3094,1851
20161012,1660,401,293,1451,129,1082,2023,1183,612,629,2737,1634
20161013,2180,737,330,1961,272,1495,2851,1703,832,848,3629,2286
20161014,2082,825,327,1926,283,1594,2787,1601,919,950,3570,2222
20161015,1083,1344,270,1530,307,1193,2187,1094,747,779,1921,1812
20161016,1186,1993,356,1597,544,1093,2323,1098,872,909,1837,1957
20161017,2362,722,397,2062,376,1596,2905,1718,827,854,3883,2352
20161018,1346,344,221,1221,150,876,1559,980,482,497,2163,1368
20161019,1546,422,260,1466,175,990,1794,1172,548,569,2561,1675
20161020,1114,285,106,959,85,782,1364,835,446,454,1926,1019
20161021,1834,684,317,1833,245,1350,2730,1576,766,810,3119,2064
20161022,1191,1357,312,1547,331,1041,2414,1234,817,857,2044,1783
20161023,911,884,222,1032,195,717,1682,932,520,423,1451,1199
20161024,2160,697,364,1975,321,1469,2920,1710,880,878,3776,2225
20161025,2126,683,351,1864,261,1396,2971,1722,817,881,3636,2127
20161026,995,1041,216,1358,278,902,2030,1049,628,673,1847,1566
20161027,2047,753,396,1963,272,1474,2987,1704,787,885,3536,2274
20161028,1858,978,326,1974,371,1462,3059,1644,784,952,3457,2291
20161029,683,382,148,947,109,669,1369,722,297,429,1299,1050
20161030,704,834,202,1004,240,638,1601,782,432,402,1098,1088
20161031,1670,838,362,1719,342,1258,2628,1379,658,810,2694,2049
20161101,877,1458,329,1308,439,841,1856,810,852,655,1449,1629
20161102,1315,342,225,1143,136,812,1535,1027,425,496,2099,1392
20161103,1739,465,211,1474,206,1115,2242,1299,490,705,2894,1722
20161104,1759,520,277,1519,238,1129,2238,1333,587,671,3019,1769
20161105,719,663,153,903,161,763,1148,711,433,470,1269,1001
20161106,320,122,69,347,36,311,397,245,111,111,521,396
20161107,1867,549,268,1711,204,1307,2314,1326,631,721,3221,2011
20161108,1961,586,275,1684,219,1228,2410,1402,649,750,3341,1956
20161109,2015,629,316,1779,273,1326,2542,1548,662,781,3319,2113
20161110,1681,424,219,1300,190,1077,2004,1171,465,591,2860,1530
20161111,1582,434,213,1330,185,1103,1911,1132,543,576,2552,1597
20161112,397,131,75,504,46,393,616,382,147,203,816,571
20161113,616,597,142,712,127,521,874,530,361,314,903,881
20161114,1692,476,290,1467,231,1085,1923,1244,561,568,2907,1772
20161115,1639,499,245,1430,214,1079,1933,1227,510,624,2803,1686
20161116,1013,177,141,802,99,594,1003,673,257,308,1627,924
20161117,1414,330,198,1135,147,967,1616,1046,449,532,2436,1350
20161118,1543,546,236,1455,210,1048,1901,1115,498,563,2588,1635
20161119,711,312,123,721,118,575,1031,629,264,412,1213,841
20161120,791,1139,180,940,251,699,1451,673,575,535,1358,1165
20161121,2116,722,329,1809,315,1443,2518,1450,851,839,3640,2114
20161122,2355,945,363,2218,346,1551,2858,1697,957,968,3956,2625
20161123,2181,632,360,1842,328,1374,2438,1524,783,771,3664,2125
20161124,1916,476,295,1540,224,1228,2222,1343,611,677,3304,1809
20161125,1318,297,229,1230,162,948,1683,936,460,503,2350,1389
20161126,908,624,185,940,134,779,1438,817,414,494,1620,1103
20161127,651,662,137,715,104,532,1026,577,357,271,1123,837
20161128,1802,450,260,1387,224,1109,1844,1170,532,566,2795,1676
20161129,1828,449,248,1363,208,1114,1840,1179,530,600,2844,1687
20161130,1773,396,244,1398,170,1143,1755,1189,440,563,2873,1644
20161201,1107,194,141,650,62,635,1135,728,305,353,1824,921
20161202,977,225,135,646,93,657,1073,740,274,314,1782,922
20161203,709,452,145,575,124,638,982,590,252,371,1296,790
20161204,574,342,97,487,78,456,788,451,300,249,910,643
20161205,1545,366,221,981,173,916,1529,1003,447,493,2610,1392
20161206,1609,419,221,996,172,955,1686,1103,451,512,2821,1415
20161207,1662,396,212,992,176,957,1653,1209,440,503,2801,1409
20161208,534,293,78,434,69,503,792,527,299,269,1051,577
20161209,1143,432,179,858,167,821,1457,929,438,500,2111,1223
20161210,779,871,161,738,188,672,1251,756,354,532,1460,1007
20161211,555,540,114,504,132,473,822,499,286,276,1008,668
20161212,1378,274,200,875,141,798,1318,914,349,423,2304,1237
20161213,1573,402,241,1095,169,941,1862,1150,476,534,2771,1554
20161214,1498,289,186,910,122,894,1573,989,413,467,2514,1288
20161215,1559,377,219,1073,186,955,1881,1099,445,523,2780,1524
20161216,1434,333,196,1032,161,956,1640,1078,508,558,2488,1466
20161217,655,253,104,453,92,602,910,539,248,344,1199,619
20161218,424,267,90,400,66,368,610,350,303,224,733,529
20161219,1249,281,188,776,103,761,1304,835,375,411,2122,1103
20161220,961,260,173,742,102,619,961,660,265,314,1640,1056
20161221,880,187,130,615,110,571,867,616,315,326,1501,869
20161222,863,203,124,625,96,582,983,651,323,344,1593,885
20161223,711,201,127,542,98,550,804,521,239,272,1211,766
20161224,189,158,88,215,64,179,249,119,86,118,380,291
20161225,96,76,66,171,28,93,163,87,92,78,194,223
20161226,236,504,143,389,114,196,465,212,203,183,460,519
20161227,446,211,109,345,79,297,493,373,121,163,754,491
20161228,470,167,116,425,59,350,607,386,193,216,852,600
20161229,606,329,152,479,133,449,840,524,233,270,1019,681
20161230,620,287,139,420,110,430,800,476,244,306,991,599
20161231,342,253,76,324,72,276,516,284,128,191,563,446
